               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.2582,             0.74723,              1.0697,             0.84412,             0.69424,             0.76033,             0.45858,              1.1476,             0.60503,              1.0165,            0.006436,            0.006436,            0.006436
                  38,               1.273,             0.74318,              1.0736,             0.85548,              0.7143,             0.76781,             0.46955,              1.1571,             0.60574,               1.022,            0.006337,            0.006337,            0.006337
                  39,              1.2418,             0.71067,              1.0665,             0.82814,             0.71287,              0.7578,             0.47281,              1.1106,             0.57998,             0.99511,            0.006238,            0.006238,            0.006238
                  40,              1.2521,             0.72003,              1.0667,             0.86924,             0.68829,             0.77848,             0.47149,              1.1543,             0.60124,              1.0211,            0.006139,            0.006139,            0.006139
                  41,              1.2364,             0.71105,              1.0715,             0.84996,              0.7172,              0.7656,             0.46113,              1.1566,             0.60058,              1.0245,             0.00604,             0.00604,             0.00604
                  42,              1.2289,             0.70125,              1.0618,             0.85869,             0.70248,             0.76668,             0.47327,              1.1153,             0.59678,             0.99673,            0.005941,            0.005941,            0.005941
                  43,              1.2353,             0.70196,              1.0659,             0.85338,             0.71306,             0.78859,             0.48815,              1.1264,             0.58904,              1.0047,            0.005842,            0.005842,            0.005842
                  44,              1.2335,             0.71891,               1.073,              0.8645,              0.6949,             0.75451,              0.4695,              1.1646,             0.60105,              1.0103,            0.005743,            0.005743,            0.005743
                  45,              1.2326,              0.7159,               1.054,             0.85258,             0.72454,             0.78863,             0.48956,              1.1026,             0.59245,             0.99205,            0.005644,            0.005644,            0.005644
                  46,              1.2079,             0.68993,              1.0451,             0.85062,             0.73513,             0.79365,             0.49141,              1.1116,             0.57814,              1.0051,            0.005545,            0.005545,            0.005545
                  47,              1.2376,             0.69285,              1.0652,             0.80502,             0.72243,             0.75338,             0.45326,               1.139,             0.61396,              1.0064,            0.005446,            0.005446,            0.005446
                  48,              1.2252,             0.70377,              1.0483,             0.85346,             0.72911,             0.78878,             0.48365,              1.0938,             0.56809,              0.9909,            0.005347,            0.005347,            0.005347
                  49,              1.2001,              0.6815,              1.0447,             0.84866,             0.75199,             0.79004,             0.48997,              1.1217,             0.55715,             0.99395,            0.005248,            0.005248,            0.005248
                  50,              1.1757,             0.66704,              1.0383,             0.84452,             0.75741,             0.79895,             0.48973,              1.0993,             0.55101,             0.98067,            0.005149,            0.005149,            0.005149
                  51,              1.1958,             0.68193,              1.0451,             0.87242,             0.73947,             0.81106,             0.50943,              1.0915,             0.53841,             0.97917,             0.00505,             0.00505,             0.00505
                  52,              1.1838,             0.66542,              1.0308,             0.84741,              0.7642,             0.80928,             0.50169,              1.0931,             0.54635,             0.97943,            0.004951,            0.004951,            0.004951
                  53,              1.1918,             0.66793,              1.0412,             0.81526,              0.7464,              0.7942,             0.48394,              1.0804,             0.54869,             0.97385,            0.004852,            0.004852,            0.004852
                  54,              1.1779,             0.67362,              1.0353,             0.81913,             0.74562,             0.78942,             0.49897,              1.0942,             0.54775,             0.98367,            0.004753,            0.004753,            0.004753
                  55,              1.1514,             0.65386,              1.0399,             0.80495,             0.76816,             0.77448,             0.49803,              1.0754,             0.54047,             0.97285,            0.004654,            0.004654,            0.004654
                  56,              1.1562,             0.65874,               1.042,             0.83512,             0.75241,             0.78537,             0.48823,              1.0986,             0.54221,             0.98345,            0.004555,            0.004555,            0.004555
                  57,              1.1581,             0.65105,              1.0239,             0.84543,             0.75052,             0.78951,             0.49412,              1.0876,             0.54043,             0.97867,            0.004456,            0.004456,            0.004456
                  58,              1.1812,             0.65828,              1.0304,              0.8511,             0.75324,             0.80396,             0.49955,              1.0638,             0.54031,             0.96059,            0.004357,            0.004357,            0.004357
                  59,              1.1457,             0.64765,              1.0207,             0.85193,             0.74786,             0.80713,             0.50697,              1.0613,               0.524,             0.96188,            0.004258,            0.004258,            0.004258
                  60,               1.144,             0.64113,              1.0318,              0.8656,              0.7562,              0.8131,             0.50786,              1.0872,             0.53647,             0.98688,            0.004159,            0.004159,            0.004159
                  61,              1.1597,             0.64277,              1.0159,             0.86897,             0.75381,             0.80994,             0.50444,              1.0728,             0.52343,             0.97304,             0.00406,             0.00406,             0.00406
                  62,              1.1493,              0.6371,               1.018,             0.85507,             0.76703,             0.81941,             0.51076,              1.0532,             0.51869,             0.96799,            0.003961,            0.003961,            0.003961
                  63,              1.1208,             0.62641,              1.0081,             0.84479,             0.76997,              0.8127,             0.50405,              1.0672,             0.52767,             0.96563,            0.003862,            0.003862,            0.003862
                  64,               1.148,             0.62965,              1.0229,             0.86461,             0.75527,              0.8187,             0.51113,              1.0737,             0.52604,             0.96873,            0.003763,            0.003763,            0.003763
                  65,              1.1392,             0.63588,              1.0327,             0.84443,             0.76983,             0.81739,             0.51661,              1.0555,             0.51802,             0.96852,            0.003664,            0.003664,            0.003664
                  66,              1.1295,             0.63093,              1.0109,             0.88164,             0.74678,             0.82099,             0.50684,              1.0661,             0.51429,             0.96722,            0.003565,            0.003565,            0.003565
                  67,              1.1164,             0.62334,              1.0105,             0.85978,             0.77494,             0.83111,             0.52898,              1.0372,             0.52023,             0.95874,            0.003466,            0.003466,            0.003466
                  68,              1.1043,             0.61485,              1.0089,             0.84738,             0.76777,              0.8187,             0.50722,              1.0572,             0.52212,             0.96235,            0.003367,            0.003367,            0.003367
                  69,              1.1139,             0.62547,              1.0159,              0.8726,             0.76031,             0.82738,             0.51266,              1.0476,              0.5188,             0.96659,            0.003268,            0.003268,            0.003268
                  70,              1.1106,             0.61878,              1.0136,             0.88521,             0.74063,             0.82086,             0.52635,              1.0263,             0.50229,             0.95215,            0.003169,            0.003169,            0.003169
                  71,              1.1103,             0.60572,              1.0024,             0.85399,               0.762,             0.81392,             0.50154,              1.0748,             0.52478,             0.96646,             0.00307,             0.00307,             0.00307
                  72,              1.1008,             0.60289,              1.0138,             0.89526,             0.77361,             0.82696,             0.51895,              1.0357,             0.50564,             0.95269,            0.002971,            0.002971,            0.002971
                  73,              1.1088,             0.60648,             0.99549,             0.86326,             0.77112,             0.83053,             0.52314,              1.0372,              0.4983,             0.95565,            0.002872,            0.002872,            0.002872
                  74,              1.0984,             0.61098,              1.0108,             0.85457,             0.78375,             0.84398,             0.52928,              1.0171,             0.49973,             0.94675,            0.002773,            0.002773,            0.002773
                  75,              1.0793,             0.59185,             0.98198,             0.90444,             0.75513,             0.83615,             0.53029,               1.017,             0.49727,             0.95311,            0.002674,            0.002674,            0.002674
                  76,              1.0828,             0.59235,              1.0032,             0.88185,             0.75895,             0.82714,             0.52628,              1.0157,             0.49576,             0.95569,            0.002575,            0.002575,            0.002575
                  77,              1.0855,             0.58875,              1.0028,              0.8858,              0.7731,             0.84186,             0.53409,              1.0034,             0.48998,             0.94371,            0.002476,            0.002476,            0.002476
                  78,              1.0711,             0.58502,             0.98715,             0.89255,             0.76849,             0.83892,             0.52286,              1.0218,             0.48616,             0.95142,            0.002377,            0.002377,            0.002377
                  79,               1.057,             0.57957,             0.98636,             0.87317,             0.78221,             0.84082,              0.5247,              1.0129,                0.48,             0.95134,            0.002278,            0.002278,            0.002278
                  80,              1.0599,             0.57309,             0.99384,             0.88823,             0.77478,             0.83764,             0.53639,              1.0092,             0.48498,             0.94752,            0.002179,            0.002179,            0.002179
