               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,               1.467,             0.83404,              1.2062,             0.87111,             0.74614,             0.80986,             0.50993,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.4823,             0.85448,              1.2007,             0.85931,              0.7519,             0.80438,             0.50618,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.4206,             0.80938,              1.1906,             0.85108,              0.7742,             0.81686,             0.51844,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.4311,             0.81083,              1.1889,             0.81819,             0.78997,              0.8094,             0.51165,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.4313,             0.80843,              1.2078,             0.84797,             0.78844,             0.82434,             0.51443,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.4273,             0.80529,              1.2009,             0.85771,             0.77553,             0.81253,             0.51752,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.4391,             0.80193,              1.1865,              0.8709,             0.77928,             0.81666,              0.5192,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.4571,             0.81646,              1.2087,              0.7937,             0.80153,             0.81889,             0.51841,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.3913,             0.77601,               1.188,             0.82789,             0.79823,             0.83071,             0.52629,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.3928,             0.77481,              1.1809,             0.84334,             0.80594,             0.82792,             0.53456,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.4034,             0.78686,              1.1804,             0.82372,             0.79144,             0.80838,             0.51529,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.4198,             0.79128,              1.1908,             0.84896,              0.7887,             0.82444,             0.52854,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.4205,             0.79569,              1.1794,             0.83384,             0.78898,             0.82275,             0.52485,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.3853,             0.77657,              1.1854,             0.86346,             0.79204,             0.83147,             0.53634,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.4021,             0.78891,              1.1825,             0.83128,             0.80405,             0.82779,             0.52792,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.3757,             0.77035,              1.1802,             0.82214,             0.77984,             0.81648,              0.5275,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.3891,             0.79188,              1.1911,             0.84644,             0.79681,             0.81315,             0.51904,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.3861,             0.77437,              1.1847,             0.85268,               0.795,             0.82851,              0.5484,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.3605,             0.76333,              1.1766,             0.85254,             0.76781,             0.82355,             0.53715,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.3787,             0.76479,              1.1778,             0.84485,             0.79533,             0.81901,             0.53585,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.3534,              0.7469,              1.1592,             0.86572,             0.77853,             0.82079,             0.52921,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.3353,             0.73532,              1.1755,              0.8556,              0.7715,             0.81634,             0.53111,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.3748,             0.75119,              1.1706,             0.87919,             0.79699,             0.83316,             0.53937,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.3511,             0.74292,              1.1691,             0.86832,             0.79557,             0.82868,             0.53733,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.3421,             0.74586,              1.1644,             0.83336,             0.81372,              0.8337,             0.52836,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.3159,             0.71554,              1.1647,             0.87777,             0.79697,              0.8397,             0.54631,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.3352,             0.72236,              1.1715,             0.83911,             0.79673,             0.82666,             0.54048,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.2974,             0.71377,              1.1582,             0.87916,             0.78776,             0.82947,             0.54574,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.3167,             0.71501,              1.1628,             0.87228,             0.78735,             0.83771,             0.55636,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.3415,             0.72276,              1.1748,             0.86421,             0.79851,             0.84114,             0.55363,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.3336,             0.72884,              1.1641,             0.86827,             0.80203,             0.85067,             0.55786,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.3094,             0.70791,              1.1614,              0.8796,             0.81044,             0.84465,             0.55468,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.3422,              0.7235,              1.1715,             0.87344,              0.8161,             0.83751,             0.55035,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.3121,             0.70499,              1.1614,              0.8499,             0.82343,             0.84075,             0.55364,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,               1.283,             0.68849,              1.1516,             0.86468,             0.81223,              0.8373,             0.56171,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,               1.262,             0.68775,              1.1464,             0.89711,              0.7948,             0.84554,             0.55619,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.2974,             0.68813,              1.1495,              0.9108,             0.81489,             0.85259,             0.56105,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.3061,             0.70073,              1.1531,             0.87538,             0.81213,             0.84955,             0.55986,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
