               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.4113,             0.80331,              1.2074,             0.80389,             0.73114,             0.75783,             0.47621,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.4049,             0.80827,               1.209,             0.78322,             0.74557,              0.7589,             0.47868,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.3778,             0.78591,              1.2024,             0.82157,             0.71745,             0.74923,             0.47258,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.4015,             0.79872,              1.1981,             0.83325,             0.70619,             0.76291,             0.48342,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.3923,             0.79783,              1.1966,             0.76951,             0.74647,              0.7641,             0.48756,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.4117,             0.81007,              1.2074,             0.84035,             0.71837,             0.76643,             0.47937,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.3933,             0.80039,              1.2138,             0.80937,             0.72458,             0.76496,              0.4893,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.3743,             0.77423,              1.1993,             0.82445,              0.7239,             0.75851,             0.47923,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.3976,             0.79136,              1.2095,             0.80279,             0.71617,             0.75653,             0.46554,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.3755,             0.77358,              1.1979,             0.75625,             0.74777,             0.75644,             0.48283,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.3565,             0.75647,              1.1944,             0.78967,             0.75162,             0.76711,             0.47808,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.3634,             0.75171,              1.1923,             0.82964,             0.71773,             0.76048,             0.49082,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.3385,             0.73029,              1.1856,             0.78798,             0.74394,             0.76837,             0.49556,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.3655,             0.75471,              1.1904,             0.83192,             0.73914,             0.76808,              0.4979,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.3549,             0.74763,              1.1813,             0.82131,             0.74558,               0.775,             0.49229,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.3433,             0.74505,              1.1862,             0.80867,             0.72573,             0.76328,             0.48651,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.3217,             0.72338,              1.1769,             0.82154,             0.76796,             0.77887,             0.49489,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.3353,             0.73165,              1.1779,              0.8421,               0.742,              0.7777,             0.49566,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.3504,             0.74264,              1.1849,             0.81132,             0.75804,             0.78119,             0.50173,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.3233,             0.72247,               1.182,             0.83092,             0.74616,             0.78075,             0.49991,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,               1.328,             0.72684,              1.1839,             0.83745,             0.74057,             0.78069,             0.49658,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.3329,             0.72676,               1.175,             0.83197,             0.74886,             0.78267,             0.49402,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.2994,             0.71309,              1.1795,              0.7865,              0.7647,              0.7774,             0.50266,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.2913,             0.70538,              1.1614,             0.81696,             0.77189,              0.7942,             0.51493,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
